Year,NumOfRaces,WDCWinner,WCCWinner
2018,21,Lewis Hamilton,Mercedes
2019,21,Lewis Hamilton,Mercedes
2020,17,Lewis Hamilton,Mercedes
2021,22,Max Verstappen,Mercedes
2022,22,Max Verstappen,Red Bull
2023,22,Max Verstappen,Red Bull
2024,24,Max Verstappen,McLaren
2025,24,Lando Norris,McLaren
