ID,LapID,ExactTimeOfLap,Speed,Gear,"Position(X,Y)",RPM,Throttle,Brake,Distance,RelativeDistance
0,0,0 days 00:01:12.093000,208.0,5,"(3986.9727018808358, 887.1454337533196)",10815.0,77.0,False,3603.803333333334,0.6642354818299582
0,0,0 days 00:01:12.102000,208.03749973333333,5,"(3991.0, 887.0)",10822.4249472,77.86249386666667,False,3604.323671818163,0.6643313880857152
0,0,0 days 00:01:12.333000,209.0,5,"(4077.4484747318625, 857.4387092379482)",11013.0,100.0,False,3617.736666666667,0.6668036059821725
0,0,0 days 00:01:12.402000,211.01249813333334,5,"(4106.0, 838.0)",11111.612408533334,100.0,False,3621.827655320897,0.6675576370900215
0,0,0 days 00:01:12.573000,216.0,5,"(4192.37106136478, 767.9961838473507)",11356.0,100.0,False,3632.1366666666668,0.669457743861973
0,0,0 days 00:01:12.702000,218.68749866666667,5,"(4260.0, 710.0)",11431.7874624,100.0,False,3640.0155619015095,0.6709099434657074
0,0,0 days 00:01:12.813000,221.0,5,"(4313.177055017779, 664.9689433839571)",11497.0,100.0,False,3646.870000000001,0.6721733201186209
0,0,0 days 00:01:13.002000,225.70149244226624,5,"(4398.0, 594.0)",11763.10447223227,100.0,False,3658.725857662498,0.674358534071368
0,0,0 days 00:01:13.014000,226.0,5,"(4403.441181841133, 589.4551003904986)",11780.0,100.0,False,3659.4883333333337,0.6744990698741729
0,0,0 days 00:01:13.254000,232.0,5,"(4513.830064765118, 497.4183571371562)",11933.0,100.0,False,3674.955000000001,0.6773498105598846
0,0,0 days 00:01:13.302000,232.60251029890938,5,"(4536.0, 479.0)",11708.0628217405,100.0,False,3678.072748747179,0.677924458827217
0,0,0 days 00:01:13.493000,235.0,5,"(4624.140253789363, 406.0290734705498)",10813.0,100.0,False,3690.556388888889,0.6802253825895719
0,0,0 days 00:01:13.602000,237.270832,5,"(4675.0, 364.0)",10825.7166592,100.0,False,3697.774903353972,0.6815558640255209
0,0,0 days 00:01:13.733000,240.0,6,"(4737.0706658067265, 312.7102137449672)",10841.0,100.0,False,3706.5563888888896,0.6831744246782393
0,0,0 days 00:01:13.902000,244.2249984,6,"(4821.0, 243.0)",11078.3040768,100.0,False,3718.0711104267875,0.6852967620816484
0,0,0 days 00:01:13.973000,246.0,6,"(4858.5206726616425, 211.57426501252394)",11178.0,100.0,False,3722.9563888888893,0.6861971928191232
0,0,0 days 00:01:14.174000,250.0,6,"(4967.602097588108, 119.97651863190437)",11422.0,100.0,False,3736.914722222223,0.6887699248496012
0,0,0 days 00:01:14.202000,250.46666666666667,6,"(4982.0, 108.0)",11431.683333333332,100.0,False,3738.8754448681843,0.6891313157000476
0,0,0 days 00:01:14.414000,254.0,6,"(5083.984994408898, 24.232907512653462)",11505.0,100.0,False,3753.848055555556,0.6918909943934406
0,0,0 days 00:01:14.502000,255.46666666666667,6,"(5128.0, -12.0)",11583.466666666667,100.0,False,3760.123014417667,0.6930475642552545
0,0,0 days 00:01:14.654000,258.0,6,"(5210.911931155573, -80.92669929181146)",11719.0,100.0,False,3771.048055555556,0.6950612146387579
0,0,0 days 00:01:14.802000,260.46666666666664,6,"(5290.0, -147.0)",11775.116666666667,100.0,False,3781.7993790916707,0.6970428462398129
0,0,0 days 00:01:14.894000,262.0,6,"(5333.490340109212, -183.3119752812615)",11810.0,100.0,False,3788.514722222223,0.6982805855855531
0,0,0 days 00:01:15.102000,263.74058530796043,6,"(5428.0, -262.0)",12003.204969183607,100.0,False,3803.754555945888,0.7010895175277642
0,0,0 days 00:01:15.133000,264.0,6,"(5443.932169575469, -275.2141050646387)",12032.0,100.0,False,3806.041388888889,0.7015110154401805
0,0,0 days 00:01:15.373000,268.0,6,"(5580.8684088220325, -388.6009185206041)",10912.0,100.0,False,3823.908055555556,0.7048041124391923
0,0,0 days 00:01:15.401000,268.42,6,"(5597.0, -402.0)",10927.12,100.0,False,3826.0079455523146,0.705191153938068
